CMIN 超时空采矿车
E1 盟军大兵
GGI 重装大兵
ADOG 盟军军犬
ENGINEER 盟军工程师
ENFO 光棱攻城兵
GHOST 海豹部队
JUMPJET 火箭飞行兵
AICLEG 超时空军团兵（AI）
FV 斯特瑞克步兵战车
TANY 谭雅
RIOT 镇暴部队
SIEG 西格弗里德
ARMR 友川纪夫
ROBO 机器人坦克
MTNK 骑士坦克
ETNK 斗牛犬坦克
KTNK 河童坦克
STORM 风暴子战机
ORCA 鹞式战机
BEAG 黑鹰战机
HBIRD 蜂鸟支援机
FORTRESS 梭鱼轰炸机
AMCV 盟军机动建设车
SHAD 千里马直升机
MGTK 幻影坦克
COMA 战鹰直升机
HOWI 西风火炮
VCARR 冰雹攻城平台
BASS 雅典娜炮
SREF 光棱坦克
ABRM 艾布拉姆斯坦克
AERO 天火坦克
CHRTNK 冥卫坦克
AITHOR 雷神炮艇（AI）
BLZZ 暴风雪坦克
BFRT 战斗要塞
SNIPE 狙击手
SUPR 反转士
CRYO 冰冻直升机
DEST 驱逐舰
DLPH 海豚
AEGIS 神盾巡洋舰
HCRUIS 战列舰
CARRIER 航空母舰
SPY 间谍
AMC 执政官步兵装甲车
TENGU 长剑步兵装甲
E2 动员兵
FLAKT 防空步兵
DOG 苏联军犬
SENGINEER 苏联工程师
SHK 磁暴步兵
IVAN 疯狂伊文
DESO 辐射工兵
SBTR 破坏者
FLAMER 喷火兵
MOTOR 迫击炮摩托
DESOR 根除者
GYRO 旋翼飞行兵
CHITZ 契特卡伊
VOLKOV 沃尔科夫
MORALES 莫拉莱斯
YUNRU 云茹
HARV 武装采矿车
HTK 半履带车
SCAR 猛虎装甲车
HTNK 犀牛坦克
JTNK 捷豹坦克
CTNK 麒麟坦克
DRON 铁蜘蛛
FDRON 怒焰无人机
SMCV 苏联基地车
BOREK 破坏神载具
ARMA 犰狳载具
FOX 狐步舞者战机
DUST 尘旋风支援机
DTRUCK 自爆卡车
BGGY 自爆吉普车
TTNK 磁能坦克
V3 飞毛腿导弹发射车
WOLF 猎狼犬直升机
MWF 斯大林之拳
APOC 灾厄坦克
BURA 布拉提诺火箭发射车
SCHP 劫掠者武装直升机
EMPR 女娲加农炮
EDRN 蜻蜓无人机
SENT 哨兵防空车
CNTR 百夫长攻城机甲
ZEP 基洛夫空艇
SAPC 野牛运输艇
SUB 台风级潜艇
SWLF 海狼
DRED 无畏级战舰
AKULA 阿库拉潜艇
INIT 尤里新兵
BRUTE 狂兽人
HARP 弓箭手
YDOG 精怪
YENGINEER 厄普西隆工程师
YURI 心灵专家
INTRUDER 渗透者
ASSN 拉恩
KAOS 毒爆虱
DUNE 沙丘骑兵
YURIPR 心灵精英
Stalker 梦魇机甲
HIJACKER 劫持者
Libra 天秤
UNDER 马尔翁
VIRUS 病毒狙击手
YMIN 幽灵采矿车
YTNK 加特林坦克
LTNK 鞭打者坦克
QTNK 螳螂坦克
STNK 奥普斯坦克
STING 毒刺无人载具
PCV 厄普西隆基地车
DRIL 钻地运输车
DISK 入侵飞碟
MARA 掠夺者坦克
TRIKE 极速三轮摩托车
SHADOW 魔影坦克
MIND 心灵之主
TELE 磁控坦克
YAHCR 炼狱平台
SCAV 暴君
PLAG 瘟疫投石机
COYO 氧化者
DEVO 巨像
BASIL 毒蜥
GOTTER 空中要塞伊利卡拉
YHVR 神舟运输艇
SLED 食人鱼潜艇
SQD 巨型乌贼
NAUT 鹦鹉螺潜艇
BSUB 瘟神
QUAD 迷雾机动车
BLIGHT 恶灵攻击机
VENOM 恶灵升腾者
KNIGHT 铁骑兵
COVE 长枪战士
FENGINEER 焚风工程师
HUNTR 女猎手
CLAIR 千里眼无人机
CLAIRAI 千里眼无人机（AI）
SYNC 同步浪人
ZORB 气压球使徒
BANE 巨人克星
SIBFIN 菲因
SICALI 阿莉兹
EUREKA 优莱卡
URAGAN 乌拉甘
ROACH 蛮牛坦克
LEVI 利维坦母舰
DRACO 飞蜥坦克
JACKAL 豺狼机动载具
TERA 雷鸟
BUZZ 秃鹰攻击机
RACC 浣熊干扰车
MSA 声波探测仪
TARCHIA 多智龙火炮
MAD M.A.D.M.A.N
MADAI M.A.D.M.A.N（AI）
SHRAY 沙得雷声波坦克
FMCV 焚风机动建设车
VIPER 无齿翼龙
DIVER 爆裂蜂
SEAT 战龟运输艇
SWORD 剑鱼护卫艇
SHARK 扁鲨潜艇
MEGA 巨齿鲨
ROADR 走鹃活动炸弹
PROME 乳齿象坦克
BOID 机械造物
GHTNK 巨鳄载具
CYCL 独眼巨人
NMIN 矿甲虫
SWPR 扫荡者无人机
CONF 激怒者支援车
HURR 长生鸟空中哨站
QUETZ 风神翼龙
